PROGRAMA;EPISÓDIO;TEMP.;EP;EPISÓDIO
A Arte do Atado;Besouro patagônico;5;5;Besouro patagônico
A Arte do Atado;Formiga feita de tapete;5;1;Formiga feita de tapete
A Arte do Atado;"Isca sapinho de preguiçoso	";5;2;"Isca sapinho de preguiçoso	"
A Arte do Atado;Mini streamer;5;3;Mini streamer
A Arte do Atado;"Streamer Iriko para pescaria de robalo	";5;4;"Streamer Iriko para pescaria de robalo	"
A Meta;A linha;2;5;A linha
A Meta;Estratégias;2;6;Estratégias
A Meta;Jacaré-açu;2;4;Jacaré-açu
A Meta;Persistência;2;7;Persistência
A Meta;Redemoinho;2;3;Redemoinho
Aqua Negócios;Aeração na criação de camarão marinho;3;6;Aeração na criação de camarão marinho
Aqua Negócios;Carcinicultura marinha – sistema trifásico e intensivo;3;5;Carcinicultura marinha – sistema trifásico e intensivo
Aqua Negócios;Larvicultura de camarão marinho;3;7;Larvicultura de camarão marinho
Aqua Negócios;Nutrição Aqua: Desafios, inovações tecnológicas e avanços;3;9;Nutrição Aqua: Desafios, inovações tecnológicas e avanços
Aqua Negócios;Sistema AquaScience da Camanor;3;8;Sistema AquaScience da Camanor
Aquarismo;Aquarismo ruma à região norte do Brasil;4;19;Aquarismo ruma à região norte do Brasil
Aquarismo;As tecnologias por trás de uma gigante do aquarismo;4;10;As tecnologias por trás de uma gigante do aquarismo
Aquarismo;Captura e distribuição dos peixes ornamentais;4;23;Captura e distribuição dos peixes ornamentais
Aquarismo;Conheça o espetacular oceanário de Lisboa;4;11;Conheça o espetacular oceanário de Lisboa
Aquarismo;Conhecendo lojas de aquarismo em Miami;5;2;Conhecendo lojas de aquarismo em Miami
Aquarismo;Manutenção e limpeza de aquário – Parte 1;2;13;Manutenção e limpeza de aquário – Parte 1
Aquarismo;Manutenção e limpeza de aquário – Parte 2;2;14;Manutenção e limpeza de aquário – Parte 2
Aquarismo;Os cuidados com o aquário marinho de coral;2;15;Os cuidados com o aquário marinho de coral
Aquarismo;Os cuidados com o aquário marinho de coral – parte 2;2;16;Os cuidados com o aquário marinho de coral – parte 2
Aquarismo;Os melhores aquários do Brasil;2;17;Os melhores aquários do Brasil
Aquarismo;Os peixes ornamentais do rio Xingu;4;22;Os peixes ornamentais do rio Xingu
Aquarismo;Visita à fábrica da Boyu na China;4;12;Visita à fábrica da Boyu na China
Aquarismo;Visita a Global Pet Expo;5;3;Visita a Global Pet Expo
Aquarismo;Visitando a Mydor;5;1;Visitando a Mydor
Ases da Pesca em Ação;A eficiência das iscas de hélice;5;2;A eficiência das iscas de hélice
Ases da Pesca em Ação;Aumentando a produtividade com iscas de meia-água;5;3;Aumentando a produtividade com iscas de meia-água
Ases da Pesca em Ação;Maicon Bianchi e sua paixão pela pesca de tucunarés;5;1;Maicon Bianchi e sua paixão pela pesca de tucunarés
Biopesca;A ciência dos robalos de Cananéia;6;1;A ciência dos robalos de Cananéia
Biopesca;A diversidade de peixes na técnica da batida;6;2;A diversidade de peixes na técnica da batida
Biopesca;Dourados do rio Manso;5;10;Dourados do rio Manso
Biopesca;Esportivas cacharas no rio Teles Pires;4;12;Esportivas cacharas no rio Teles Pires
Biopesca;Pancadas de tucunaré-azul em serra da mesa;4;10;Pancadas de tucunaré-azul em serra da mesa
Biopesca;Peixes variados em Juruena;5;8;Peixes variados em Juruena
Biopesca;Pescaria de aruanã com isca artificial no rio Araguaia;4;11;Pescaria de aruanã com isca artificial no rio Araguaia
Biopesca;Pescaria de piauçu no rio Miranda;4;13;Pescaria de piauçu no rio Miranda
Biopesca;Pescaria variada com isca artificial ;5;12;Pescaria variada com isca artificial 
Biopesca;Robalo-flecha no rio Coreaú;5;13;Robalo-flecha no rio Coreaú
Biopesca;Tucunarés de Presidente Epitácio ;5;11;Tucunarés de Presidente Epitácio 
Biopesca;Variados peixes de couro do rio Paraguai;5;9;Variados peixes de couro do rio Paraguai
Campeonato Brasileiro em Pesqueiros;A grande final – 1º parte;1;17;A grande final – 1º parte
Campeonato Brasileiro em Pesqueiros;A grande final – 2º parte;1;18;A grande final – 2º parte
Campeonato Brasileiro em Pesqueiros;Etapa Parque Maeda 3 – 1º parte;1;13;Etapa Parque Maeda 3 – 1º parte
Campeonato Brasileiro em Pesqueiros;Etapa Parque Maeda 3 – 2º parte;1;14;Etapa Parque Maeda 3 – 2º parte
Campeonato Brasileiro em Pesqueiros;Etapa Parque Maeda 4 – 1º parte;1;15;Etapa Parque Maeda 4 – 1º parte
Campeonato Brasileiro em Pesqueiros;Etapa Parque Maeda 4 – 2º parte;1;16;Etapa Parque Maeda 4 – 2º parte
Coração de Pescador;As grande piraíbas do rio Araguaia;4;14;As grande piraíbas do rio Araguaia
Coração de Pescador;Bargadas e Cacharas no rio Araguaia, em Goiás;4;22;Bargadas e Cacharas no rio Araguaia, em Goiás
Coração de Pescador;Em busca do pirarucu nas águas do Cristalino;4;15;Em busca do pirarucu nas águas do Cristalino
Coração de Pescador;Os gigantes tambaquis do Teles Pires;4;24;Os gigantes tambaquis do Teles Pires
Coração de Pescador;Os grandes açús do rio Negro;4;16;Os grandes açús do rio Negro
Coração de Pescador;Reencontro com os tucunarés-açús amazônicos ;4;17;Reencontro com os tucunarés-açús amazônicos 
Coração de Pescador;Tambaqui no Teles Pires;4;23;Tambaqui no Teles Pires
Coração de Pescador;Tucunarés-azuis no Lago do Peixe Angical;4;18;Tucunarés-azuis no Lago do Peixe Angical
Custom Fishing;Aprenda a fazer uma vara para iscas artificiais leves;1;4;Aprenda a fazer uma vara para iscas artificiais leves
Custom Fishing;Customização de vara com carretilha para pesca de robalo;1;2;Customização de vara com carretilha para pesca de robalo
Custom Fishing;Vara customizada de molinete para isca artificial leve;1;5;Vara customizada de molinete para isca artificial leve
Custom Fishing;Vara customizada para pescaria de mar;1;1;Vara customizada para pescaria de mar
Custom Fishing;Vara de carretilha para usar com jig head;1;6;Vara de carretilha para usar com jig head
Destinos;Altamira – conheça os encantos da maior cidade do país;4;31;Altamira – conheça os encantos da maior cidade do país
Destinos;Conheça Manaus – a cidade palco da pesca esportiva;4;33;Conheça Manaus – a cidade palco da pesca esportiva
Destinos;Joice Tur e o Kayamã 5 estrelas;4;32;Joice Tur e o Kayamã 5 estrelas
Destinos;Navegue pelo Rio Negro com a Ecofishing – parte 2;4;28;Navegue pelo Rio Negro com a Ecofishing – parte 2
Destinos;Uma aventura com a Tribo da Pesca na pousada Asa Branca;4;29;Uma aventura com a Tribo da Pesca na pousada Asa Branca
Elas na Pesca;Grandes dourados do rio Paraná;4;1;Grandes dourados do rio Paraná
Elas na Pesca;Pescando nos canais do Aquafort;4;7;Pescando nos canais do Aquafort
Elas na Pesca;Pescando robalos no rio Coreaú;4;3;Pescando robalos no rio Coreaú
Elas na Pesca;Uma aventura pelo rio Sucunduri;4;2;Uma aventura pelo rio Sucunduri
Elas na Pesca;Variada pescaria na Argentina;4;8;Variada pescaria na Argentina
Fish TV News;Campeonato Goiano em Pesqueiros – Etapa Paraíso Verde;5;5;Campeonato Goiano em Pesqueiros – Etapa Paraíso Verde
Fish TV News;Campeonato Mineiro em Pesqueiros – Etapa Uni Pesca;5;8;Campeonato Mineiro em Pesqueiros – Etapa Uni Pesca
Fish TV News;Campeonato Mineiro em Pesqueiros – Etapa Uni Pesca;5;8;Campeonato Mineiro em Pesqueiros – Etapa Uni Pesca
Fish TV News;Campeonato Paulista em Pesqueiros – Etapas Parque Maeda 1 e 2;5;9;Campeonato Paulista em Pesqueiros – Etapas Parque Maeda 1 e 2
Fish TV News;Congresso Brasileiro de Engenharia de Pesca ;5;6;Congresso Brasileiro de Engenharia de Pesca 
Fish TV News;Empresas Campeonato Brasileiro em Pesqueiros 1;5;2;Empresas Campeonato Brasileiro em Pesqueiros 1
Fish TV News;Empresas Campeonato Brasileiro em Pesqueiros 2;5;4;Empresas Campeonato Brasileiro em Pesqueiros 2
Fish TV News;Feira Nacional do Camarão  ;5;7;Feira Nacional do Camarão  
Fishing Guide;Esportiva pesca na Argentina;2;12;Esportiva pesca na Argentina
Fishing Guide;Pescando dourados argentinos no corrico;2;4;Pescando dourados argentinos no corrico
Fishing Guide;Pescaria de tucunarés no rio Itapará;2;3;Pescaria de tucunarés no rio Itapará
Fishing Guide;Trairões do rio Trombetas;2;2;Trairões do rio Trombetas
Fishing Guide;Tucunarés-açu do rio Negro;2;1;Tucunarés-açu do rio Negro
FishTV Teste;Carretilha Sephia e linha Tacom;4;12;Carretilha Sephia e linha Tacom
FishTV Teste;Linha Econylon Platinum e carretilha Hercules GTO 10BB;4;14;Linha Econylon Platinum e carretilha Hercules GTO 10BB
FishTV Teste;Linha PRO TSURI e vara PRO TSURI SENSEI;4;17;Linha PRO TSURI e vara PRO TSURI SENSEI
FishTV Teste;Linha Seaguar Smackdown e molinete Saint Plus Urano 5000;4;13;Linha Seaguar Smackdown e molinete Saint Plus Urano 5000
FishTV Teste;Linha Tectam Premium Plus e vara Tactic;4;15;Linha Tectam Premium Plus e vara Tactic
Momento da Pesca;A desafiadora pesca de marlins-azuis;7;9;A desafiadora pesca de marlins-azuis
Momento da Pesca;Grandes dourados do rio Paraná;7;11;Grandes dourados do rio Paraná
Momento da Pesca;Pesca de caiaque no piscoso rio Teles Pires;7;7;Pesca de caiaque no piscoso rio Teles Pires
Momento da Pesca;Pesca variada no rio Cururu ;6;24;Pesca variada no rio Cururu 
Momento da Pesca;Pescaria de tucunarés com iscas de superfície;7;10;Pescaria de tucunarés com iscas de superfície
Momento da Pesca;Tucunarés do rio Itapará;7;8;Tucunarés do rio Itapará
Momento da Pesca;Variada pescaria no rio Tarumã ;6;26;Variada pescaria no rio Tarumã 
Na Pegada do Fly;A pegada dos dourados argentinos;7;5;A pegada dos dourados argentinos
Na Pegada do Fly;Dias dourados nas águas do rio Paraná;7;7;Dias dourados nas águas do rio Paraná
Na Pegada do Fly;Traíras e apaiaris do rio Mutum;7;6;Traíras e apaiaris do rio Mutum
Na Pegada do Fly;Trairões do rio Juruena no fly;7;8;Trairões do rio Juruena no fly
Na Pegada do Fly;Uma caçada as grandes traíras argentinas;7;9;Uma caçada as grandes traíras argentinas
Pasión Por La Pesca;As fortes piaparas e piraputangas das águas argentinas;4;14;As fortes piaparas e piraputangas das águas argentinas
Pasión Por La Pesca;Belas traíras argentinas;5;1;Belas traíras argentinas
Pasión Por La Pesca;Dourados e surubins em Corrientes;5;3;Dourados e surubins em Corrientes
Pasión Por La Pesca;Dourados na isca soft em Corrientes;4;18;Dourados na isca soft em Corrientes
Pasión Por La Pesca;Grandes dourados no Rio Uruguai;5;2;Grandes dourados no Rio Uruguai
Pasión Por La Pesca;Pesca de traíras com fly em Corrientes;5;4;Pesca de traíras com fly em Corrientes
Pasión Por La Pesca;Pescaria variada em Itatí ;5;23;Pescaria variada em Itatí 
Pesca Dinâmica;Expedição Pantanal - Pescaria apoitada de pacus com massa;3;8;Expedição Pantanal - Pescaria apoitada de pacus com massa
Pesca Dinâmica;Expedição Pantanal – rodada e corrico;3;7;Expedição Pantanal – rodada e corrico
Pesca Dinâmica;Pescaria interestadual de traíras;3;11;Pescaria interestadual de traíras
Pesca Dinâmica;Pescaria noturna de piaus e de tucunarés com iscas artificiais;3;10;Pescaria noturna de piaus e de tucunarés com iscas artificiais
Pesca Dinâmica;Pescaria variada com camarão artificial ;3;9;Pescaria variada com camarão artificial 
Pesque e Pague;Os bitelões do Recanto dos Gigantes;6;9;Os bitelões do Recanto dos Gigantes
Pesque e Pague;Peixe dia e noite no Pesqueiro Cat Fish;6;8;Peixe dia e noite no Pesqueiro Cat Fish
Pesque e Pague;Peixes briguentos do Pesqueiro Três Lagoas;6;10;Peixes briguentos do Pesqueiro Três Lagoas
Pesque e Pague;Pescaria de tambas entre amigos no Pesqueiro 3 Irmãos;6;12;Pescaria de tambas entre amigos no Pesqueiro 3 Irmãos
Pesque e Pague;Pescaria e amizade na Estância Pesqueira Campos;6;7;Pescaria e amizade na Estância Pesqueira Campos
Pesque e Pague;Variados peixes do Pesqueiro do Italiano;6;11;Variados peixes do Pesqueiro do Italiano
Provas e Torneios;18º Festival e 6º Torneio Pacu de Seringa;5;27;18º Festival e 6º Torneio Pacu de Seringa
Provas e Torneios;1ª Gincana Pesca e Solte Country Mar de Feliz Deserto;5;29;1ª Gincana Pesca e Solte Country Mar de Feliz Deserto
Provas e Torneios;2ª Etapa do Circuito Brasil-Sul de Pesca ao robalo 2018;5;28;2ª Etapa do Circuito Brasil-Sul de Pesca ao robalo 2018
Provas e Torneios;2º Torneio Cabras da Pesca;5;26;2º Torneio Cabras da Pesca
Provas e Torneios;Circuito Brasil-Sul 2018 – 1ª Etapa – Imbé-RS;5;25;Circuito Brasil-Sul 2018 – 1ª Etapa – Imbé-RS
Pura Pesca;Apresentando a piscosidade das águas paraenses;2;17;Apresentando a piscosidade das águas paraenses
Pura Pesca;Pescaria de tucunarés pelos afluentes do rio Negro ;2;14;Pescaria de tucunarés pelos afluentes do rio Negro 
Pura Pesca;Trairões do rio Trombetas;2;16;Trairões do rio Trombetas
Pura Pesca;Tucunarés do lago Tracajá ;2;15;Tucunarés do lago Tracajá 
Pura Pesca;Uma variada pescaria em Paraty;2;18;Uma variada pescaria em Paraty
Sabores;Buffalo wings, asinha com wasabi, camarão com coalho e sorvete batido;2;7;Buffalo wings, asinha com wasabi, camarão com coalho e sorvete batido
Sabores;Carne suína e legumes assados, sanduíche de carne desfiada e banana assada;2;3;Carne suína e legumes assados, sanduíche de carne desfiada e banana assada
Sabores;Costelinha barbecue, moqueca de tilápia, batata na chapa, bolinho de batata;2;6;Costelinha barbecue, moqueca de tilápia, batata na chapa, bolinho de batata
Sabores;Moqueca de camarão, camarão na abóbora, tilápia ao molho e provolone;2;4;Moqueca de camarão, camarão na abóbora, tilápia ao molho e provolone
Sabores;Picanha ao forno, carnes assadas, pão na chapa e farofa especial;2;5;Picanha ao forno, carnes assadas, pão na chapa e farofa especial
Saltwater;Pesca variada com isca viva;2;2;Pesca variada com isca viva
Saltwater;Pescando as valentes miraguaias;2;4;Pescando as valentes miraguaias
Saltwater;Pescaria de miraguaias no Guarujá;2;1;Pescaria de miraguaias no Guarujá
Saltwater;Pescaria de robalos com jig head;2;3;Pescaria de robalos com jig head
