Horários;;;;;;;;;;;;;;;
00:00;24:00:00 - 24:15:00;24:15:00 - 24:30:00;24:30:00 - 24:45:00;24:45:00 - 25:00:00;;;;;;;;;;;
00:15;24:15:00 - 24:30:00;24:30:00 - 24:45:00;24:45:00 - 25:00:00;25:00:00 - 25:15:00;;;;;;;;;;;
00:30;24:30:00 - 24:45:00;24:45:00 - 25:00:00;25:00:00 - 25:15:00;25:15:00 - 25:30:00;;;;;;;;;;;
00:45;24:45:00 - 25:00:00;25:00:00 - 25:15:00;25:15:00 - 25:30:00;25:30:00 - 25:45:00;;;;;;;;;;;
01:00;25:00:00 - 25:15:00;25:15:00 - 25:30:00;25:30:00 - 25:45:00;25:45:00 - 26:00:00;;;;;;;;;;;
01:15;25:15:00 - 25:30:00;25:30:00 - 25:45:00;25:45:00 - 26:00:00;26:00:00 - 26:15:00;;;;;;;;;;;
01:30;25:30:00 - 25:45:00;25:45:00 - 26:00:00;26:00:00 - 26:15:00;26:15:00 - 26:30:00;;;;;;;;;;;
01:45;25:45:00 - 26:00:00;26:00:00 - 26:15:00;26:15:00 - 26:30:00;26:30:00 - 26:45:00;;;;;;;;;;;
02:00;26:00:00 - 26:15:00;26:15:00 - 26:30:00;26:30:00 - 26:45:00;26:45:00 - 27:00:00;;;;;;;;;;;
02:15;26:15:00 - 26:30:00;26:30:00 - 26:45:00;26:45:00 - 27:00:00;27:00:00 - 27:15:00;;;;;;;;;;;
02:30;26:30:00 - 26:45:00;26:45:00 - 27:00:00;27:00:00 - 27:15:00;27:15:00 - 27:30:00;;;;;;;;;;;
02:45;26:45:00 - 27:00:00;27:00:00 - 27:15:00;27:15:00 - 27:30:00;27:30:00 - 27:45:00;;;;;;;;;;;
03:00;27:00:00 - 27:15:00;27:15:00 - 27:30:00;27:30:00 - 27:45:00;27:45:00 - 28:00:00;;;;;;;;;;;
03:15;27:15:00 - 27:30:00;27:30:00 - 27:45:00;27:45:00 - 28:00:00;28:00:00 - 28:15:00;;;;;;;;;;;
03:30;27:30:00 - 27:45:00;27:45:00 - 28:00:00;28:00:00 - 28:15:00;28:15:00 - 28:30:00;;;;;;;;;;;
03:45;27:45:00 - 28:00:00;28:00:00 - 28:15:00;28:15:00 - 28:30:00;28:30:00 - 28:45:00;;;;;;;;;;;
04:00;28:00:00 - 28:15:00;28:15:00 - 28:30:00;28:30:00 - 28:45:00;28:45:00 - 29:00:00;;;;;;;;;;;
04:15;28:15:00 - 28:30:00;28:30:00 - 28:45:00;28:45:00 - 29:00:00;29:00:00 - 29:15:00;;;;;;;;;;;
04:30;28:30:00 - 28:45:00;28:45:00 - 29:00:00;29:00:00 - 29:15:00;29:15:00 - 29:30:00;;;;;;;;;;;
04:45;28:45:00 - 29:00:00;29:00:00 - 29:15:00;29:15:00 - 29:30:00;29:30:00 - 29:45:00;;;;;;;;;;;
05:00;29:00:00 - 29:15:00;29:15:00 - 29:30:00;29:30:00 - 29:45:00;29:45:00 - 30:00:00;;;;;;;;;;;
05:15;29:15:00 - 29:30:00;29:30:00 - 29:45:00;29:45:00 - 30:00:00;06:00:00 - 06:15:00;;;;;;;;;;;
05:30;29:30:00 - 29:45:00;29:45:00 - 30:00:00;06:00:00 - 06:15:00;06:15:00 - 06:30:00;;;;;;;;;;;
05:45;29:45:00 - 30:00:00;06:00:00 - 06:15:00;06:15:00 - 06:30:00;06:30:00 - 06:45:00;;;;;;;;;;;
06:00;06:00:00 - 06:15:00;06:15:00 - 06:30:00;06:30:00 - 06:45:00;06:45:00 - 07:00:00;;;;;;;;;;;
06:15;06:15:00 - 06:30:00;06:30:00 - 06:45:00;06:45:00 - 07:00:00;07:00:00 - 07:15:00;;;;;;;;;;;
06:30;06:30:00 - 06:45:00;06:45:00 - 07:00:00;07:00:00 - 07:15:00;07:15:00 - 07:30:00;;;;;;;;;;;
06:45;06:45:00 - 07:00:00;07:00:00 - 07:15:00;07:15:00 - 07:30:00;07:30:00 - 07:45:00;;;;;;;;;;;
07:00;07:00:00 - 07:15:00;07:15:00 - 07:30:00;07:30:00 - 07:45:00;07:45:00 - 08:00:00;;;;;;;;;;;
07:15;07:15:00 - 07:30:00;07:30:00 - 07:45:00;07:45:00 - 08:00:00;08:00:00 - 08:15:00;;;;;;;;;;;
07:30;07:30:00 - 07:45:00;07:45:00 - 08:00:00;08:00:00 - 08:15:00;08:15:00 - 08:30:00;;;;;;;;;;;
07:45;07:45:00 - 08:00:00;08:00:00 - 08:15:00;08:15:00 - 08:30:00;08:30:00 - 08:45:00;;;;;;;;;;;
08:00;08:00:00 - 08:15:00;08:15:00 - 08:30:00;08:30:00 - 08:45:00;08:45:00 - 09:00:00;;;;;;;;;;;
08:15;08:15:00 - 08:30:00;08:30:00 - 08:45:00;08:45:00 - 09:00:00;09:00:00 - 09:15:00;;;;;;;;;;;
08:30;08:30:00 - 08:45:00;08:45:00 - 09:00:00;09:00:00 - 09:15:00;09:15:00 - 09:30:00;;;;;;;;;;;
08:45;08:45:00 - 09:00:00;09:00:00 - 09:15:00;09:15:00 - 09:30:00;09:30:00 - 09:45:00;;;;;;;;;;;
09:00;09:00:00 - 09:15:00;09:15:00 - 09:30:00;09:30:00 - 09:45:00;09:45:00 - 10:00:00;;;;;;;;;;;
09:15;09:15:00 - 09:30:00;09:30:00 - 09:45:00;09:45:00 - 10:00:00;10:00:00 - 10:15:00;;;;;;;;;;;
09:30;09:30:00 - 09:45:00;09:45:00 - 10:00:00;10:00:00 - 10:15:00;10:15:00 - 10:30:00;;;;;;;;;;;
09:45;09:45:00 - 10:00:00;10:00:00 - 10:15:00;10:15:00 - 10:30:00;10:30:00 - 10:45:00;;;;;;;;;;;
10:00;10:00:00 - 10:15:00;10:15:00 - 10:30:00;10:30:00 - 10:45:00;10:45:00 - 11:00:00;;;;;;;;;;;
10:15;10:15:00 - 10:30:00;10:30:00 - 10:45:00;10:45:00 - 11:00:00;11:00:00 - 11:15:00;;;;;;;;;;;
10:30;10:30:00 - 10:45:00;10:45:00 - 11:00:00;11:00:00 - 11:15:00;11:15:00 - 11:30:00;;;;;;;;;;;
10:45;10:45:00 - 11:00:00;11:00:00 - 11:15:00;11:15:00 - 11:30:00;11:30:00 - 11:45:00;;;;;;;;;;;
11:00;11:00:00 - 11:15:00;11:15:00 - 11:30:00;11:30:00 - 11:45:00;11:45:00 - 12:00:00;;;;;;;;;;;
11:15;11:15:00 - 11:30:00;11:30:00 - 11:45:00;11:45:00 - 12:00:00;12:00:00 - 12:15:00;;;;;;;;;;;
11:30;11:30:00 - 11:45:00;11:45:00 - 12:00:00;12:00:00 - 12:15:00;12:15:00 - 12:30:00;;;;;;;;;;;
11:45;11:45:00 - 12:00:00;12:00:00 - 12:15:00;12:15:00 - 12:30:00;12:30:00 - 12:45:00;;;;;;;;;;;
12:00;12:00:00 - 12:15:00;12:15:00 - 12:30:00;12:30:00 - 12:45:00;12:45:00 - 13:00:00;;;;;;;;;;;
12:15;12:15:00 - 12:30:00;12:30:00 - 12:45:00;12:45:00 - 13:00:00;13:00:00 - 13:15:00;;;;;;;;;;;
12:30;12:30:00 - 12:45:00;12:45:00 - 13:00:00;13:00:00 - 13:15:00;13:15:00 - 13:30:00;;;;;;;;;;;
12:45;12:45:00 - 13:00:00;13:00:00 - 13:15:00;13:15:00 - 13:30:00;13:30:00 - 13:45:00;;;;;;;;;;;
13:00;13:00:00 - 13:15:00;13:15:00 - 13:30:00;13:30:00 - 13:45:00;13:45:00 - 14:00:00;;;;;;;;;;;
13:15;13:15:00 - 13:30:00;13:30:00 - 13:45:00;13:45:00 - 14:00:00;14:00:00 - 14:15:00;;;;;;;;;;;
13:30;13:30:00 - 13:45:00;13:45:00 - 14:00:00;14:00:00 - 14:15:00;14:15:00 - 14:30:00;;;;;;;;;;;
13:45;13:45:00 - 14:00:00;14:00:00 - 14:15:00;14:15:00 - 14:30:00;14:30:00 - 14:45:00;;;;;;;;;;;
14:00;14:00:00 - 14:15:00;14:15:00 - 14:30:00;14:30:00 - 14:45:00;14:45:00 - 15:00:00;;;;;;;;;;;
14:15;14:15:00 - 14:30:00;14:30:00 - 14:45:00;14:45:00 - 15:00:00;15:00:00 - 15:15:00;;;;;;;;;;;
14:30;14:30:00 - 14:45:00;14:45:00 - 15:00:00;15:00:00 - 15:15:00;15:15:00 - 15:30:00;;;;;;;;;;;
14:45;14:45:00 - 15:00:00;15:00:00 - 15:15:00;15:15:00 - 15:30:00;15:30:00 - 15:45:00;;;;;;;;;;;
15:00;15:00:00 - 15:15:00;15:15:00 - 15:30:00;15:30:00 - 15:45:00;15:45:00 - 16:00:00;;;;;;;;;;;
15:15;15:15:00 - 15:30:00;15:30:00 - 15:45:00;15:45:00 - 16:00:00;16:00:00 - 16:15:00;;;;;;;;;;;
15:30;15:30:00 - 15:45:00;15:45:00 - 16:00:00;16:00:00 - 16:15:00;16:15:00 - 16:30:00;;;;;;;;;;;
15:45;15:45:00 - 16:00:00;16:00:00 - 16:15:00;16:15:00 - 16:30:00;16:30:00 - 16:45:00;;;;;;;;;;;
16:00;16:00:00 - 16:15:00;16:15:00 - 16:30:00;16:30:00 - 16:45:00;16:45:00 - 17:00:00;;;;;;;;;;;
16:15;16:15:00 - 16:30:00;16:30:00 - 16:45:00;16:45:00 - 17:00:00;17:00:00 - 17:15:00;;;;;;;;;;;
16:30;16:30:00 - 16:45:00;16:45:00 - 17:00:00;17:00:00 - 17:15:00;17:15:00 - 17:30:00;;;;;;;;;;;
16:45;16:45:00 - 17:00:00;17:00:00 - 17:15:00;17:15:00 - 17:30:00;17:30:00 - 17:45:00;;;;;;;;;;;
17:00;17:00:00 - 17:15:00;17:15:00 - 17:30:00;17:30:00 - 17:45:00;17:45:00 - 18:00:00;;;;;;;;;;;
17:15;17:15:00 - 17:30:00;17:30:00 - 17:45:00;17:45:00 - 18:00:00;18:00:00 - 18:15:00;;;;;;;;;;;
17:30;17:30:00 - 17:45:00;17:45:00 - 18:00:00;18:00:00 - 18:15:00;18:15:00 - 18:30:00;;;;;;;;;;;
17:45;17:45:00 - 18:00:00;18:00:00 - 18:15:00;18:15:00 - 18:30:00;18:30:00 - 18:45:00;;;;;;;;;;;
18:00;18:00:00 - 18:15:00;18:15:00 - 18:30:00;18:30:00 - 18:45:00;18:45:00 - 19:00:00;;;;;;;;;;;
18:15;18:15:00 - 18:30:00;18:30:00 - 18:45:00;18:45:00 - 19:00:00;19:00:00 - 19:15:00;;;;;;;;;;;
18:30;18:30:00 - 18:45:00;18:45:00 - 19:00:00;19:00:00 - 19:15:00;19:15:00 - 19:30:00;;;;;;;;;;;
18:45;18:45:00 - 19:00:00;19:00:00 - 19:15:00;19:15:00 - 19:30:00;19:30:00 - 19:45:00;;;;;;;;;;;
19:00;19:00:00 - 19:15:00;19:15:00 - 19:30:00;19:30:00 - 19:45:00;19:45:00 - 20:00:00;;;;;;;;;;;
19:15;19:15:00 - 19:30:00;19:30:00 - 19:45:00;19:45:00 - 20:00:00;20:00:00 - 20:15:00;;;;;;;;;;;
19:30;19:30:00 - 19:45:00;19:45:00 - 20:00:00;20:00:00 - 20:15:00;20:15:00 - 20:30:00;;;;;;;;;;;
19:45;19:45:00 - 20:00:00;20:00:00 - 20:15:00;20:15:00 - 20:30:00;20:30:00 - 20:45:00;;;;;;;;;;;
20:00;20:00:00 - 20:15:00;20:15:00 - 20:30:00;20:30:00 - 20:45:00;20:45:00 - 21:00:00;;;;;;;;;;;
20:15;20:15:00 - 20:30:00;20:30:00 - 20:45:00;20:45:00 - 21:00:00;21:00:00 - 21:15:00;;;;;;;;;;;
20:30;20:30:00 - 20:45:00;20:45:00 - 21:00:00;21:00:00 - 21:15:00;21:15:00 - 21:30:00;;;;;;;;;;;
20:45;20:45:00 - 21:00:00;21:00:00 - 21:15:00;21:15:00 - 21:30:00;21:30:00 - 21:45:00;;;;;;;;;;;
21:00;21:00:00 - 21:15:00;21:15:00 - 21:30:00;21:30:00 - 21:45:00;21:45:00 - 22:00:00;;;;;;;;;;;
21:15;21:15:00 - 21:30:00;21:30:00 - 21:45:00;21:45:00 - 22:00:00;22:00:00 - 22:15:00;;;;;;;;;;;
21:30;21:30:00 - 21:45:00;21:45:00 - 22:00:00;22:00:00 - 22:15:00;22:15:00 - 22:30:00;;;;;;;;;;;
21:45;21:45:00 - 22:00:00;22:00:00 - 22:15:00;22:15:00 - 22:30:00;22:30:00 - 22:45:00;;;;;;;;;;;
22:00;22:00:00 - 22:15:00;22:15:00 - 22:30:00;22:30:00 - 22:45:00;22:45:00 - 23:00:00;;;;;;;;;;;
22:15;22:15:00 - 22:30:00;22:30:00 - 22:45:00;22:45:00 - 23:00:00;23:00:00 - 23:15:00;;;;;;;;;;;
22:30;22:30:00 - 22:45:00;22:45:00 - 23:00:00;23:00:00 - 23:15:00;23:15:00 - 23:30:00;;;;;;;;;;;
22:45;22:45:00 - 23:00:00;23:00:00 - 23:15:00;23:15:00 - 23:30:00;23:30:00 - 23:45:00;;;;;;;;;;;
23:00;23:00:00 - 23:15:00;23:15:00 - 23:30:00;23:30:00 - 23:45:00;23:45:00 - 24:00:00;;;;;;;;;;;
23:15;23:15:00 - 23:30:00;23:30:00 - 23:45:00;23:45:00 - 24:00:00;24:00:00 - 24:15:00;;;;;;;;;;;
23:30;23:30:00 - 23:45:00;23:45:00 - 24:00:00;24:00:00 - 24:15:00;24:15:00 - 24:30:00;;;;;;;;;;;
23:45;23:45:00 - 24:00:00;24:00:00 - 24:15:00;24:15:00 - 24:30:00;24:30:00 - 24:45:00;;;;;;;;;;;
