Referência;Produto;Atributos;Categorias;Qtde Vendida;Custo do Produto;Total vendas;;;;;;;;;;;;;;;;;;
10495;Camiseta Tucunaré Aquarela - Preta;Único/G;Lançamentos, Camisetas;30;26,02;780,6;;;;;;;;;;;;;;;;;;
10493;Camiseta Tucunaré Aquarela - Preta;Único/GG;Lançamentos, Camisetas;6;26,02;156,12;;;;;;;;;;;;;;;;;;
10493;Camiseta Tucunaré Aquarela - Branca;Único/G;Lançamentos, Camisetas;5;26,02;130,1;;;;;;;;;;;;;;;;;;
10493;Camiseta Tucunaré Aquarela - Branca;Único/XGG;Lançamentos, Camisetas;4;26,02;104,08;;;;;;;;;;;;;;;;;;
10493;Camiseta Tucunaré Aquarela - Branca;Único/XG;Lançamentos, Camisetas;3;26,02;78,06;;;;;;;;;;;;;;;;;;
10493;Camiseta Tucunaré Aquarela - Branca;Único/P;Lançamentos, Camisetas;2;26,02;52,04;;;;;;;;;;;;;;;;;;
10493;Camiseta Tucunaré Aquarela - Branca;Único/M;Lançamentos, Camisetas;1;26,02;26,02;;;;;;;;;;;;;;;;;;
10343;Boné Tucunaré Tribal;Único/Único;Bonés;17;21,97;373,49;;;;;;;;;;;;;;;;;;
10481;Camiseta Anzol For Fisher;Único/GG;Lançamentos, Camisetas;8;23,11;184,88;;;;;;;;;;;;;;;;;;
10481;Camiseta Anzol For Fisher;Único/G;Lançamentos, Camisetas;7;23,11;161,77;;;;;;;;;;;;;;;;;;
10481;Camiseta Anzol For Fisher;Único/M;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10481;Camiseta Anzol For Fisher;Único/XGG;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10496;Camiseta Pescar e Soltar;Único/G;Lançamentos, Camisetas;7;23,11;161,77;;;;;;;;;;;;;;;;;;
10496;Camiseta Pescar e Soltar;Único/GG;Lançamentos, Camisetas;4;23,11;92,44;;;;;;;;;;;;;;;;;;
10496;Camiseta Pescar e Soltar;Único/XGG;Lançamentos, Camisetas;2;23,11;46,22;;;;;;;;;;;;;;;;;;
10496;Camiseta Pescar e Soltar;Único/P;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10496;Camiseta Pescar e Soltar;Único/M;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10492;Camiseta Pescar é o Meu Esporte;Único/G;Lançamentos, Camisetas;4;23,11;92,44;;;;;;;;;;;;;;;;;;
10492;Camiseta Pescar é o Meu Esporte;Único/GG;Lançamentos, Camisetas;3;23,11;69,33;;;;;;;;;;;;;;;;;;
10492;Camiseta Pescar é o Meu Esporte;Único/XG;Lançamentos, Camisetas;3;23,11;69,33;;;;;;;;;;;;;;;;;;
10492;Camiseta Pescar é o Meu Esporte;Único/P;Lançamentos, Camisetas;2;23,11;46,22;;;;;;;;;;;;;;;;;;
10492;Camiseta Pescar é o Meu Esporte;Único/M;Lançamentos, Camisetas;2;23,11;46,22;;;;;;;;;;;;;;;;;;
10492;Camiseta Pescar é o Meu Esporte;Único/XGG;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10550;Boné Isca Stick;Único/Único;Lançamentos, Bonés;13;24,7;321,1;;;;;;;;;;;;;;;;;;
10548;Boné Pesco Logo Existo;Único/Único;Lançamentos, Bonés;13;24;312;;;;;;;;;;;;;;;;;;
10337;Boné Momento da Pesca;Único/Único;Bonés, Fish TV;13;10,34;134,42;;;;;;;;;;;;;;;;;;
10500;Camiseta Tambaqui Aquarela - Branca;Único/G;Lançamentos, Camisetas;6;26,02;156,12;;;;;;;;;;;;;;;;;;
10500;Camiseta Tambaqui Aquarela - Branca;Único/M;Lançamentos, Camisetas;2;26,02;52,04;;;;;;;;;;;;;;;;;;
10500;Camiseta Tambaqui Aquarela - Branca;Único/P;Lançamentos, Camisetas;1;26,02;26,02;;;;;;;;;;;;;;;;;;
10500;Camiseta Tambaqui Aquarela - Branca;Único/GG;Lançamentos, Camisetas;1;26,02;26,02;;;;;;;;;;;;;;;;;;
10500;Camiseta Tambaqui Aquarela - Branca;Único/XG;Lançamentos, Camisetas;1;26,02;26,02;;;;;;;;;;;;;;;;;;
10500;Camiseta Tambaqui Aquarela - Branca;Único/XGG;Lançamentos, Camisetas;1;26,02;26,02;;;;;;;;;;;;;;;;;;
10539;Boné Escama Dourado;Único/Único;Lançamentos, Bonés;11;27,59;303,49;;;;;;;;;;;;;;;;;;
10578;Caneca Tucunaré Aquarela;Único/Único;Lançamentos, Utilitários > Canecas;10;13,9;139;;;;;;;;;;;;;;;;;;
10542;Boné Escama Tambaqui;Único/Único;Lançamentos, Bonés;10;27,53;275,3;;;;;;;;;;;;;;;;;;
10482;Camiseta Boia Cevadeira;Único/G;Lançamentos, Camisetas;3;23,11;69,33;;;;;;;;;;;;;;;;;;
10482;Camiseta Boia Cevadeira;Único/XG;Lançamentos, Camisetas;3;23,11;69,33;;;;;;;;;;;;;;;;;;
10482;Camiseta Boia Cevadeira;Único/GG;Lançamentos, Camisetas;2;23,11;46,22;;;;;;;;;;;;;;;;;;
10482;Camiseta Boia Cevadeira;Único/P;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10482;Camiseta Boia Cevadeira;Único/XGG;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10572;Abridor Pesque e Solte;Único/Único;Lançamentos, Utilitários > Abridores;8;5,63;45,04;;;;;;;;;;;;;;;;;;
10588;Colar Isca Stick;Único/Único;Lançamentos, Acessórios > Colares;8;4,91;39,28;;;;;;;;;;;;;;;;;;
10574;Chaveiro Tucunaré;Único/Único;Lançamentos, Utilitários > Chaveiros;7;4,52;31,64;;;;;;;;;;;;;;;;;;
10497;Camiseta Robalo Maori;Único/G;Lançamentos, Camisetas;3;23,11;69,33;;;;;;;;;;;;;;;;;;
10497;Camiseta Robalo Maori;Único/M;Lançamentos, Camisetas;2;23,11;46,22;;;;;;;;;;;;;;;;;;
10497;Camiseta Robalo Maori;Único/GG;Lançamentos, Camisetas;2;23,11;46,22;;;;;;;;;;;;;;;;;;
10483;Camiseta Cardume Fish TV;Único/G;Lançamentos, Camisetas, Fish TV;3;23,11;69,33;;;;;;;;;;;;;;;;;;
10483;Camiseta Cardume Fish TV;Único/P;Lançamentos, Camisetas, Fish TV;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10483;Camiseta Cardume Fish TV;Único/GG;Lançamentos, Camisetas, Fish TV;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10483;Camiseta Cardume Fish TV;Único/XG;Lançamentos, Camisetas, Fish TV;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10483;Camiseta Cardume Fish TV;Único/XGG;Lançamentos, Camisetas, Fish TV;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10232;Camiseta Dourado Tribal;M/Único;Camisetas;5;21,97;109,85;;;;;;;;;;;;;;;;;;
10232;Camiseta Dourado Tribal;GG/Único;Camisetas;2;21,97;43,94;;;;;;;;;;;;;;;;;;
10581;Caneca Pescar... Começar;Único/Único;Lançamentos, Utilitários > Canecas;6;10,87;65,22;;;;;;;;;;;;;;;;;;
10275;Squeeze For Fisher;Único/Único;Utilitários > Squeeze;6;12,82;76,92;;;;;;;;;;;;;;;;;;
10341;Boné Dourado Tribal;Único/Único;Bonés;6;21,97;131,82;;;;;;;;;;;;;;;;;;
10224;Sandália For Fisher;43/44/Único;Sandálias;3;14,39;43,17;;;;;;;;;;;;;;;;;;
10224;Sandália For Fisher;39/40/Único;Sandálias;1;14,39;14,39;;;;;;;;;;;;;;;;;;
10224;Sandália For Fisher;37/38/Único;Sandálias;1;14,39;14,39;;;;;;;;;;;;;;;;;;
10489;Camiseta Pampo Maori - Azul;Único/GG;Lançamentos, Camisetas;3;23,11;69,33;;;;;;;;;;;;;;;;;;
10489;Camiseta Pampo Maori - Azul;Único/G;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10489;Camiseta Pampo Maori - Azul;Único/XG;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10541;Boné Clássico Tucunaré;Único/Único;Lançamentos, Bonés;5;22,68;113,4;;;;;;;;;;;;;;;;;;
10494;Camiseta Baby Look Tucunaré Aquarela - Branca;Único/P;Lançamentos, Camisetas;2;26,02;52,04;;;;;;;;;;;;;;;;;;
10494;Camiseta Baby Look Tucunaré Aquarela - Branca;Único/G;Lançamentos, Camisetas;2;26,02;52,04;;;;;;;;;;;;;;;;;;
10494;Camiseta Baby Look Tucunaré Aquarela - Branca;Único/M;Lançamentos, Camisetas;1;26,02;26,02;;;;;;;;;;;;;;;;;;
10018;Colar Hei Matau;Único/Único;Acessórios > Colares;5;6,01;30,05;;;;;;;;;;;;;;;;;;
10129;Camiseta Tribalnaré For Fisher;GG/Único;Camisetas;3;21,96;65,88;;;;;;;;;;;;;;;;;;
10129;Camiseta Tribalnaré For Fisher;XG/Único;Camisetas;1;21,97;21,97;;;;;;;;;;;;;;;;;;
10540;Boné Escama Tucunaré;Único/Único;Lançamentos, Bonés;4;26,01;104,04;;;;;;;;;;;;;;;;;;
10033;Pulseira Tambaqui Pingente;Único/Único;Acessórios > Pulseiras;4;7,69;30,76;;;;;;;;;;;;;;;;;;
10060;Pulseira Traíra Emborrachada;Único/Único;Acessórios > Pulseiras;4;6,11;24,44;;;;;;;;;;;;;;;;;;
10422;Camiseta Embaixador da Pesca;Único/M;Camisetas;2;25;50;;;;;;;;;;;;;;;;;;
10422;Camiseta Embaixador da Pesca;Único/P;Camisetas;1;25;25;;;;;;;;;;;;;;;;;;
10422;Camiseta Embaixador da Pesca;Único/GG;Camisetas;1;25;25;;;;;;;;;;;;;;;;;;
10221;Sandália Dourado Tribal;39/40/Único;Sandálias;1;14,39;14,39;;;;;;;;;;;;;;;;;;
10221;Sandália Dourado Tribal;41/42/Único;Sandálias;1;14,39;14,39;;;;;;;;;;;;;;;;;;
10221;Sandália Dourado Tribal;43/44/Único;Sandálias;1;14,39;14,39;;;;;;;;;;;;;;;;;;
10221;Sandália Dourado Tribal;37/38/Único;Sandálias;1;14,39;14,39;;;;;;;;;;;;;;;;;;
10054;Sandália Traíra;39/40/Único;Sandálias;2;14,39;28,78;;;;;;;;;;;;;;;;;;
10054;Sandália Traíra;41/42/Único;Sandálias;1;14,39;14,39;;;;;;;;;;;;;;;;;;
10054;Sandália Traíra;Único/37/38;Sandálias;1;14,39;14,39;;;;;;;;;;;;;;;;;;
10230;Camiseta Tucunaré Tribal;M/Único;Camisetas;3;21,97;65,91;;;;;;;;;;;;;;;;;;
10230;Camiseta Tucunaré Tribal;GG/Único;Camisetas;1;21,97;21,97;;;;;;;;;;;;;;;;;;
10421;Camiseta Rei do Rio;Único/M;Camisetas;2;25;50;;;;;;;;;;;;;;;;;;
10421;Camiseta Rei do Rio;Único/G;Camisetas;2;25;50;;;;;;;;;;;;;;;;;;
10538;Boné Clássico Dourado;Único/Único;Lançamentos, Bonés;4;24,7;98,8;;;;;;;;;;;;;;;;;;
10546;Boné Robalo Maori;Único/Único;Lançamentos, Bonés;4;25,51;102,04;;;;;;;;;;;;;;;;;;
10549;Boné Pescar e Soltar;Único/Único;Lançamentos, Bonés;4;24,2;96,8;;;;;;;;;;;;;;;;;;
10161;Boné For Fisher;Único/Único;Bonés;4;13,19;52,76;;;;;;;;;;;;;;;;;;
10580;Caneca Cardume Fish TV;Único/Único;Lançamentos, Utilitários > Canecas;3;10,87;32,61;;;;;;;;;;;;;;;;;;
10061;Pulseira Tucunaré Emborrachada;Único/Único;Acessórios > Pulseiras;3;6.11;21.7;;;;;;;;;;;;;;;;;;
10189;Pulseira Macramê Dourado Café;Único/Único;Acessórios > Pulseiras;3;11,41;34,23;;;;;;;;;;;;;;;;;;
10586;Colar Anzol For Fisher;Único/Único;Lançamentos, Acessórios > Colares;3;4,61;13,83;;;;;;;;;;;;;;;;;;
10576;Caneca Salto do Dourado;Único/Único;Lançamentos, Utilitários > Canecas;3;10,87;32,61;;;;;;;;;;;;;;;;;;
10579;Caneca Pampo Maori;Único/Único;Lançamentos, Utilitários > Canecas;3;10,87;32,61;;;;;;;;;;;;;;;;;;
10484;Camiseta Baby Look Cardume Fish TV;Único/M;Lançamentos, Camisetas, Fish TV;2;23,11;46,22;;;;;;;;;;;;;;;;;;
10484;Camiseta Baby Look Cardume Fish TV;Único/G;Lançamentos, Camisetas, Fish TV;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10488;Camiseta Pampo Maori - Branca;Único/G;Lançamentos, Camisetas;3;23,11;69,33;;;;;;;;;;;;;;;;;;
10485;Camiseta Hei Matau Maori - Branca;Único/XGG;Lançamentos, Camisetas;2;23,11;46,22;;;;;;;;;;;;;;;;;;
10485;Camiseta Hei Matau Maori - Branca;Único/XG;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10499;Camiseta Tamba Fisher;Único/G;Lançamentos, Camisetas;2;26,02;52,04;;;;;;;;;;;;;;;;;;
10499;Camiseta Tamba Fisher;Único/XG;Lançamentos, Camisetas;1;26,02;26,02;;;;;;;;;;;;;;;;;;
10053;Sandália Tambaqui;41/42/Único;Sandálias;3;14,39;43,17;;;;;;;;;;;;;;;;;;
10501;Camiseta Tambaqui Aquarela - Preta;Único/XG;Lançamentos, Camisetas;2;26,02;52,04;;;;;;;;;;;;;;;;;;
10501;Camiseta Tambaqui Aquarela - Preta;Único/G;Lançamentos, Camisetas;1;26,02;26,02;;;;;;;;;;;;;;;;;;
10231;Camiseta Traíra Tribal;G/Único;Camisetas;2;21,97;43,94;;;;;;;;;;;;;;;;;;
10231;Camiseta Traíra Tribal;GG/Único;Camisetas;1;21,97;21,97;;;;;;;;;;;;;;;;;;
10132;Camiseta Baby Look Tribalnaré For Fisher;G/Único;Camisetas;3;21,97;65,91;;;;;;;;;;;;;;;;;;
10547;Boné For Fisher Aba Reta;Único/Único;Lançamentos, Bonés;3;26,52;79,56;;;;;;;;;;;;;;;;;;
10487;Camiseta Baby Look Hei Matau Maori - Preta;Único/M;Lançamentos, Camisetas;2;23,11;46,22;;;;;;;;;;;;;;;;;;
10487;Camiseta Baby Look Hei Matau Maori - Preta;Único/P;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10030;Pulseira Dourado Pingente;Único/Único;Acessórios > Pulseiras;2;7,69;15,38;;;;;;;;;;;;;;;;;;
10573;Chaveiro Pesque e Solte;Único/Único;Lançamentos, Utilitários > Chaveiros;2;4,52;9,04;;;;;;;;;;;;;;;;;;
10486;Camiseta Hei Matau Maori - Preta;Único/GG;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10486;Camiseta Hei Matau Maori - Preta;Único/XG;Lançamentos, Camisetas;1;23,11;23,11;;;;;;;;;;;;;;;;;;
10191;Pulseira Macramê Traíra Café;Único/Único;Acessórios > Pulseiras;2;11,41;22,82;;;;;;;;;;;;;;;;;;
10035;Pulseira Tucunaré Pingente;Único/Único;Acessórios > Pulseiras;2;7,69;15,38;;;;;;;;;;;;;;;;;;
10587;Colar Hei Matau Metal;Único/Único;Lançamentos, Acessórios > Colares;2;4,61;9,22;;;;;;;;;;;;;;;;;;
10056;Pulseira Dourado Emborrachada;Único/Único;Acessórios > Pulseiras;2;6,11;12,22;;;;;;;;;;;;;;;;;;
10059;Pulseira Tambaqui Emborrachada;Único/Único;Acessórios > Pulseiras;2;6,11;12,22;;;;;;;;;;;;;;;;;;
10577;Caneca Salto do Tucunaré;Único/Único;Lançamentos, Utilitários > Canecas;2;10,87;21,74;;;;;;;;;;;;;;;;;;
10034;Pulseira Traíra Pingente;Único/Único;Acessórios > Pulseiras;2;7,69;15,38;;;;;;;;;;;;;;;;;;
10429;Camiseta Salto do Dourado;Único/G;Camisetas;1;21,97;21,97;;;;;;;;;;;;;;;;;;
10429;Camiseta Salto do Dourado;Único/GG;Camisetas;1;21,97;21,97;;;;;;;;;;;;;;;;;;
10441;Camiseta Estrelas Fish TV;Único/M;Fish TV;1;110,66;110,66;;;;;;;;;;;;;;;;;;
