Destinos:;Região;Meta;Site;Redes ;Total;Média;Leads;Previsão;Gasto;Diferença;Status
Bamby’s Pesca;Argentina;45;28;26;54;1,80;9;R$ 90.00;R$ 25,93;#VALOR!;Em Andamento
Cabaña del Monte;Argentina;45;8;27;35;1,17;-10;R$ 90.00;R$ 33,62;#VALOR!;Em Andamento
Cabaña Puerto Paraíso - Ita Ibaté;Argentina;45;10;24;34;1,13;-11;R$ 90.00;R$ 33,60;#VALOR!;Em Andamento
Cabaña Puerto Paraíso - Itati;Argentina;45;9;19;28;0,93;-17;R$ 90.00;R$ 33,67;#VALOR!;Em Andamento
Cabaña Puerto Paraíso - Yahapé;Argentina;45;14;39;53;1,77;8;R$ 90.00;R$ 55,90;#VALOR!;Em Andamento
Complejo La Serena;Argentina;45;7;20;27;0,90;-18;R$ 90.00;R$ 49,34;#VALOR!;Em Andamento
Gêmeos Pesca Esportiva;Argentina;45;25;13;38;1,27;-7;R$ 90.00;R$ 33,60;#VALOR!;Em Andamento
Ituzaingó Fishing;Argentina;45;8;24;32;1,07;-13;R$ 90.00;R$ 33,80;#VALOR!;Em Andamento
La Regina Lodge;Argentina;45;7;24;31;1,03;-14;R$ 90.00;R$ 33,67;#VALOR!;Em Andamento
Pedrinho Pesca Turismo;Argentina;45;16;11;27;0,90;-18;R$ 90.00;R$ 33,84;#VALOR!;Em Andamento
Posada Casa Blanca;Argentina;45;8;36;44;1,47;-1;R$ 90.00;R$ 33,56;#VALOR!;Em Andamento
Posada Hambaré;Argentina;45;5;25;30;1,00;-15;R$ 90.00;R$ 33,66;#VALOR!;Em Andamento
Pousada Aventura en Esquina;Argentina;45;6;19;25;0,83;-20;R$ 90.00;R$ 33,58;#VALOR!;Em Andamento
Aquafort Tour & Pesca Hotel;Nordeste;30;3;14;17;0,57;-13;R$ 90.00;R$ 33,84;#VALOR!;Em Andamento
Joice Pesca & Tur;Pantanal;30;5;8;13;0,43;-17;R$ 90.00;R$ 33,82;#VALOR!;Em Andamento
Hotel Fazenda Cabana do Pescador;Pantanal;30;9;16;25;0,83;-5;R$ 90.00;R$ 33,45;#VALOR!;Em Andamento
Barco - Hotel Mutum Expedições;Pantanal;30;6;29;35;1,17;5;R$ 90.00;R$ 26,16;#VALOR!;Em Andamento
Hotel Pesqueiro da Odila;Pantanal;30;13;9;22;0,73;-8;R$ 90.00;R$ 33,59;#VALOR!;Em Andamento
Pousada Rio Mutum;Pantanal;30;7;16;23;0,77;-7;R$ 90.00;R$ 33,57;#VALOR!;Em Andamento
Barco - Hotel Minas e São Lucas do Pantanal;Pantanal;30;4;13;17;0,57;-13;R$ 90.00;R$ 33,68;#VALOR!;Em Andamento
Pousada Rio Xingu;Amazônia;30;3;14;17;0,57;-13;R$ 90.00;R$ 33,61;#VALOR!;Em Andamento
Ecolodge da Barra;Amazônia;30;2;25;27;0,90;-3;R$ 90.00;R$ 33,65;#VALOR!;Em Andamento
Ecofishing – Operação Amazônia;Amazônia;30;4;27;31;1,03;1;R$ 90.00;R$ 25,82;#VALOR!;Em Andamento
Pescaventura;Operadoras;45;5;16;21;0,70;-24;R$ 90.00;R$ 31,78;#VALOR!;Em Andamento
Barco Zaltana;Amazônia;30;3;25;28;0,93;-2;R$ 90.00;R$ 33,92;#VALOR!;Em Andamento
Pousada Juruena;Amazônia;30;11;20;31;1,03;1;#N/D;R$ 33,82;#N/D;Em Andamento
Teles Pires Logde;Amazônia;30;9;23;32;1,07;2;R$ 90.00;R$ 24,83;#VALOR!;Em Andamento
Pousada Itapará;Amazônia;30;8;10;18;0,60;-12;R$ 90.00;R$ 33,71;#VALOR!;Em Andamento
Tucuna Amazon Boat;Amazônia;30;4;18;22;0,73;-8;R$ 90.00;R$ 33,54;#VALOR!;Em Andamento
Pesca de Marlin;Digital +Impressão;15;3;13;16;0,53;1;R$ 90.00;R$ 25,02;#VALOR!;Em Andamento
Pousada Vida de Peixe;Centro-Oeste;30;8;24;32;1,07;2;R$ 90.00;R$ 24,98;#VALOR!;Em Andamento
Pousada Canoeiros;Digital +Impressão;15;9;7;16;0,53;1;R$ 90.00;R$ 24,84;#VALOR!;Em Andamento
Pesqueiro do Cabrita;Digital +Impressão;15;4;18;22;0,73;7;R$ 90.00;R$ 24,78;#VALOR!;Em Andamento
Black Mamba Fishing Adventure;Sudeste;30;6;25;31;1,03;1;R$ 90.00;R$ 32,30;#VALOR!;Em Andamento
Pousada Ribeirão do Boi;Sudeste;30;7;13;20;0,67;-10;R$ 90.00;R$ 33,48;#VALOR!;Em Andamento
Saltwater Team;Sudeste;30;16;23;39;1,30;9;R$ 90.00;R$ 25,05;#VALOR!;Em Andamento
Tribo da Pesca;Digital +Impressão;15;4;31;35;1,17;20;R$ 90.00;R$ 16,90;#VALOR!;Em Andamento
Sol Pescarias;Pesqueiros;0;1;0;1;0,03;1;R$ 0.00;R$ 0,00;#VALOR!;Em Andamento
Pesqueiro do Italiano;Pesqueiros;0;6;0;6;0,20;6;R$ 0.00;R$ 0,00;#VALOR!;Em Andamento
Pesqueiro Murayama;Pesqueiros;0;0;0;0;0,00;0;R$ 0.00;R$ 0,00;#VALOR!;Em Andamento
Pesqueiro Recanto dos Gigantes;Pesqueiros;0;12;0;12;0,40;12;R$ 0.00;R$ 0,00;#VALOR!;Em Andamento
Pesqueiro Recanto dos Peixes (Piracicaba);Pesqueiros;0;4;0;4;0,13;4;R$ 0.00;R$ 0,00;#VALOR!;Em Andamento
Pesqueiro Três Lagoas;Pesqueiros;0;1;0;1;0,03;1;R$ 0.00;R$ 0,00;#VALOR!;Em Andamento
Estância Pesqueira Campos;Pesqueiros;0;4;0;4;0,13;4;R$ 0.00;R$ 0,00;#VALOR!;Em Andamento
Fishing Park;Pesqueiros;0;2;0;2;0,07;2;R$ 0.00;R$ 0,00;#VALOR!;Em Andamento
Pesqueiro 3 Irmãos;Pesqueiros;0;0;0;0;0,00;0;R$ 0.00;R$ 0,00;#VALOR!;Em Andamento
Pesqueiro Boitupesca;Pesqueiros;0;2;0;2;0,07;2;R$ 0.00;R$ 0,00;#VALOR!;Em Andamento
Parque Maeda;Pesqueiros;0;2;0;2;0,07;2;R$ 0.00;R$ 0,00;#VALOR!;Em Andamento
Pesqueiro Garça Branca;Pesqueiros;0;4;0;4;0,13;4;R$ 0.00;R$ 0,00;#VALOR!;Em Andamento
Pesqueiro Aruja;Pesqueiros;0;0;0;0;0,00;0;R$0,00;R$ 0,00;R$ 0,00;
Cobras Pesca;Sudeste;30;3;13;16;0,53;-14;R$ 90.00;R$ 24,88;#VALOR!;Em Andamento
Barco-Hotel Pérola do Iguaçu;América;30;4;25;29;0,97;-1;R$ 90.00;R$ 33,58;#VALOR!;Em Andamento
Charlote Fishing;Operadoras;45;11;12;23;0,77;-22;R$ 90.00;R$ 38,85;#VALOR!;Em Andamento
Empedrado Fishing;Argentina;45;2;32;34;1,13;-11;R$ 90.00;R$ 43,69;#VALOR!;Em Andamento
Barco Hotel Celebridade;Pantanal;30;2;24;26;0,87;-4;R$ 90.00;R$ 33,64;#VALOR!;Em Andamento
Pousada Reserva do Pantanal;Pantanal;30;2;15;17;0,57;-13;R$ 90.00;R$ 33,62;#VALOR!;Em Andamento
Navio Kalypso;Pantanal;30;4;31;35;1,17;5;R$ 90.00;R$ 28,59;#VALOR!;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
